instrumentName,lastTradeDate,expiryDate,strike,optionType,spotPrice,bid,ask,mid,volume,openInterest,DerebitIV
BTC-8JUN23-27500-C,2023-6-5,2023-6-8,27500.0,call,26342.82,0.0,0.0005,0.00025,123.9,145.2,35.415
BTC-8JUN23-27500-P,2023-6-5,2023-6-8,27500.0,put,26342.82,0.028,0.0,0.014,1.6,1.0,0.0
BTC-8JUN23-27750-C,2023-6-5,2023-6-8,27750.0,call,26342.82,0.0,0.0005,0.00025,88.2,72.2,41.325
BTC-8JUN23-27750-P,2023-6-5,2023-6-8,27750.0,put,26342.82,0.0375,0.0,0.01875,0.1,0.1,0.0
BTC-8JUN23-28000-C,2023-6-5,2023-6-8,28000.0,call,26342.82,0.0,0.0005,0.00025,147.0,137.7,47.04
BTC-8JUN23-28000-P,2023-6-5,2023-6-8,28000.0,put,26342.82,0.047,0.0,0.0235,0.0,5.3,0.0
BTC-8JUN23-28500-C,2023-6-5,2023-6-8,28500.0,call,26342.82,0.0,0.0005,0.00025,32.6,70.2,57.995
BTC-8JUN23-28500-P,2023-6-5,2023-6-8,28500.0,put,26342.82,0.0665,0.0,0.03325,0.0,9.9,0.0
BTC-8JUN23-29000-C,2023-6-5,2023-6-8,29000.0,call,26342.82,0.0,0.0005,0.00025,5.4,16.1,68.44
BTC-8JUN23-29000-P,2023-6-5,2023-6-8,29000.0,put,26342.82,0.0,0.0,0.0,0.0,0.0,0.0
BTC-8JUN23-29500-C,2023-6-5,2023-6-8,29500.0,call,26342.82,0.0,0.0005,0.00025,4.5,4.0,78.46
BTC-8JUN23-29500-P,2023-6-5,2023-6-8,29500.0,put,26342.82,0.0,0.0,0.0,0.0,0.0,0.0
BTC-8JUN23-30000-C,2023-6-5,2023-6-8,30000.0,call,26342.82,0.0,0.0005,0.00025,0.2,0.2,88.12
BTC-8JUN23-30000-P,2023-6-5,2023-6-8,30000.0,put,26342.82,0.0,0.0,0.0,0.0,0.0,0.0
BTC-9JUN23-14000-C,2023-5-18,2023-6-9,14000.0,call,26342.82,0.0,0.0,0.0,0.0,0.0,0.0
BTC-9JUN23-14000-P,2023-5-18,2023-6-9,14000.0,put,26342.82,0.0,0.0005,0.00025,0.0,0.5,206.895
BTC-9JUN23-15000-C,2023-5-18,2023-6-9,15000.0,call,26342.82,0.0,1.0,0.5,0.0,0.0,499.5
BTC-9JUN23-15000-P,2023-5-18,2023-6-9,15000.0,put,26342.82,0.0,0.0005,0.00025,0.0,0.0,186.14
BTC-9JUN23-16000-C,2023-5-18,2023-6-9,16000.0,call,26342.82,0.0005,0.0,0.00025,0.0,3.5,0.0
BTC-9JUN23-16000-P,2023-5-18,2023-6-9,16000.0,put,26342.82,0.0,0.0005,0.00025,0.0,0.0,166.65
BTC-9JUN23-17000-C,2023-5-18,2023-6-9,17000.0,call,26342.82,0.0005,0.0,0.00025,0.0,7.1,0.0
BTC-9JUN23-17000-P,2023-5-18,2023-6-9,17000.0,put,26342.82,0.0,0.0005,0.00025,0.0,8.3,148.24
BTC-9JUN23-18000-C,2023-5-18,2023-6-9,18000.0,call,26342.82,0.0,0.0,0.0,0.0,0.0,0.0
BTC-9JUN23-18000-P,2023-5-18,2023-6-9,18000.0,put,26342.82,0.0,0.0005,0.00025,0.0,29.5,130.77
BTC-9JUN23-19000-C,2023-5-18,2023-6-9,19000.0,call,26342.82,0.0,0.0,0.0,0.0,0.0,0.0
BTC-9JUN23-19000-P,2023-5-18,2023-6-9,19000.0,put,26342.82,0.0,0.0005,0.00025,0.0,51.9,114.1
BTC-9JUN23-20000-C,2023-5-18,2023-6-9,20000.0,call,26342.82,0.0,1.0,0.5,0.1,0.1,499.5
BTC-9JUN23-20000-P,2023-5-18,2023-6-9,20000.0,put,26342.82,0.0,0.0005,0.00025,0.0,88.1,98.12
BTC-9JUN23-21000-C,2023-5-18,2023-6-9,21000.0,call,26342.82,0.0,0.0,0.0,0.0,0.0,0.0
BTC-9JUN23-21000-P,2023-5-18,2023-6-9,21000.0,put,26342.82,0.0,0.0005,0.00025,0.0,94.6,82.72
BTC-9JUN23-22000-C,2023-5-18,2023-6-9,22000.0,call,26342.82,0.0,0.0,0.0,0.0,0.2,0.0
BTC-9JUN23-22000-P,2023-5-18,2023-6-9,22000.0,put,26342.82,0.0,0.0005,0.00025,0.0,332.0,67.785
BTC-9JUN23-22500-C,2023-5-18,2023-6-9,22500.0,call,26342.82,0.0,0.0,0.0,1.2,1.3,0.0
BTC-9JUN23-22500-P,2023-5-18,2023-6-9,22500.0,put,26342.82,0.0,0.0005,0.00025,0.0,161.6,60.45
BTC-9JUN23-23000-C,2023-5-18,2023-6-9,23000.0,call,26342.82,0.0,0.0,0.0,5.2,3.2,0.0
BTC-9JUN23-23000-P,2023-5-18,2023-6-9,23000.0,put,26342.82,0.0,0.0005,0.00025,0.0,221.6,53.185
BTC-9JUN23-23500-C,2023-5-18,2023-6-9,23500.0,call,26342.82,0.0,0.0,0.0,0.0,0.0,0.0
BTC-9JUN23-23500-P,2023-5-18,2023-6-9,23500.0,put,26342.82,0.0,0.0005,0.00025,0.0,301.1,45.965
BTC-9JUN23-24000-C,2023-5-18,2023-6-9,24000.0,call,26342.82,0.074,1.0,0.537,1.2,10.3,499.5
BTC-9JUN23-24000-P,2023-5-18,2023-6-9,24000.0,put,26342.82,0.0,0.001,0.0005,253.3,1274.8,43.93
BTC-9JUN23-24500-C,2023-5-18,2023-6-9,24500.0,call,26342.82,0.055,0.0,0.0275,4.2,70.6,0.0
BTC-9JUN23-24500-P,2023-5-18,2023-6-9,24500.0,put,26342.82,0.0005,0.001,0.00075,317.7,1139.6,67.51
BTC-9JUN23-25000-C,2023-5-18,2023-6-9,25000.0,call,26342.82,0.039,0.08,0.0595,0.0,1.1,100.87
BTC-9JUN23-25000-P,2023-5-18,2023-6-9,25000.0,put,26342.82,0.001,0.002,0.0015,158.7,1187.0,61.185
BTC-9JUN23-25250-C,2023-6-7,2023-6-9,25250.0,call,26342.82,0.0275,0.0,0.01375,0.0,0.0,0.0
BTC-9JUN23-25250-P,2023-6-7,2023-6-9,25250.0,put,26342.82,0.0015,0.0025,0.002,1.0,1.0,56.980000000000004
BTC-9JUN23-25500-C,2023-5-18,2023-6-9,25500.0,call,26342.82,0.0245,0.0475,0.036000000000000004,1.0,110.1,56.025
BTC-9JUN23-25500-P,2023-5-18,2023-6-9,25500.0,put,26342.82,0.0025,0.003,0.00275,221.4,1239.7,52.945
