expiry_date,date,2023-05-12,2023-05-19,2023-05-26,2023-06-02,2023-06-09,2023-06-16,2023-06-23,2023-07-21,2023-08-18,2023-09-15,2023-10-20,2023-11-17,2023-12-15,2024-01-19,2024-03-15,2024-06-21,2024-09-20,2024-12-20,2025-01-17,2025-06-20,2025-12-19,2023-06-30,2023-07-07,2023-07-14,2023-07-28
m,2023-6-1,,,,,-0.0174241053852498,-0.0218230455921552,-0.021134305882354,0.0110282874409653,0.3408344198493005,0.4154094232978667,0.4002844634732441,0.4854492614821438,0.4663502677103722,0.5442322130634939,0.5103541703855511,0.5072380131987815,0.439076175688091,0.4665247662089089,0.4665057023315854,0.4695198483002855,-0.2036227197367423,0.0098219703449157,0.1908475814893376,,
sigma,2023-6-1,,,,,0.2264684894365526,0.1997095545435088,0.2350394545371325,0.38821112337214,0.7202122273904694,0.8887312507562912,0.8133387080761667,0.6301316917033815,0.5626258683089065,0.6429249870950946,0.4671339292722545,0.4965430592628339,0.5199355384969844,0.7021297934525015,1.0535518974518594,5.046972546330945,1.4899695184767665,0.2547128556176536,0.5289729944862371,,
a,2023-5-31,,,,-0.0037810725769354,-0.010401209606883,-0.01300273246007,-0.019343341830879,-0.2548160401210357,-0.0240242093991989,-0.0024240939231225,-0.0056527351662953,-0.0113240707424727,,-0.0485524398215553,-0.2979703322154696,-0.1088420031601929,-1.685896460079297,,-0.958611060580149,0.0761086381176421,0.0375076391045317,-0.0253407755054199,-0.0305166591844796,,
b,2023-5-31,,,,0.0368530277177195,0.057414826800245,0.0674765454404945,0.0791334864946152,0.228855016159738,0.1163962451377463,0.0932640747953941,0.1104837403313141,0.1302436204526793,,0.1883501597557378,0.2332210862252728,0.2521993105738663,0.4707217680953748,,0.384831323551096,0.2362509943970858,0.2453879647735942,0.0896798896988949,0.098086128119491,,
rho,2023-5-31,,,,-0.2039210545984137,-0.1763360336432719,-0.1694241992929129,-0.0651192054405647,0.057106057414241,0.1949734917453621,-0.0214078676955011,0.0382954628710622,0.0685799401194479,,0.1830623359153177,-0.1576358462373036,0.1792796812359192,-0.3569186059211243,,-0.1700428231526648,-0.9999999999999994,-1.0,0.0335269574045082,-0.022712806465849,,
m,2023-5-31,,,,-0.0251483369475217,-0.0390248178226612,-0.0348022510942132,-0.0014330887925149,0.1291901955943347,0.2212806255537202,0.1606535529537219,0.22781568342949,0.2987451017798882,,0.4245318710378867,0.3180280225533836,0.5868521549420044,-0.4946378079392679,,0.4146194193591701,-0.6951730273202,-0.8397328932918543,0.0458399916980838,0.0308192092997368,,
sigma,2023-5-31,,,,0.1144921245048969,0.2194492601618775,0.2532771542988646,0.3100089959578691,1.166242396799373,0.4089099104376725,0.3262171441624708,0.3673690748620225,0.4343015985336669,,0.5623793939442157,1.5834592062797326,0.8210930927661872,4.042421802535894,,2.868795666918772,1.16490988785346,1.674741578321749,0.3575265587212851,0.3917515558338417,,
a,2023-5-24,,,,-0.0028231234877904,-0.0074238899691383,-0.022456218906132,-0.0224126526299304,-0.0610118337714264,,-0.0081972020895395,-0.0031978524885639,-0.0189480218872039,-0.0311312772634333,-0.0169495049806106,,-0.0782172089331702,-0.0312302968553729,,0.0552370630047796,,0.0800329490408822,-0.0093141557585197,-0.0022481161830808,,
b,2023-5-24,,,,0.0317087205434221,0.0553604199485367,0.1032494067771252,0.0970546243321183,0.1485641752178434,,0.0900796035780964,0.0928463971240583,0.1290771112774008,0.1593444212818892,0.1297240426142216,,0.2471845345198439,0.2584411065151603,,0.1192038712953286,,0.1254721586162314,0.066822797194298,0.045341163089056,,
rho,2023-5-24,,,,-0.2056783147499187,0.2289650286829276,0.3379443078190782,0.2334586888854498,0.1954106036634443,,-0.1361309972353656,-0.2185400697911609,-0.0112575649958502,0.0947737690530929,-0.2022333872150283,,0.1136378530813808,-1.0,,-1.0,,-1.0000000000000016,0.0716265259866232,-0.0038954925858182,,
m,2023-5-24,,,,-0.018701031190273,0.0535216145511355,0.1204448607898891,0.1049899075248942,0.1727748619200756,,0.0995382625116714,0.1170027780275008,0.1878242257577683,0.2390171226140174,0.1761395826220722,,0.3547732623160071,-0.6187987237747747,,0.0560878897977204,,0.173514848390114,0.0660375381004457,0.0699538100433105,,
sigma,2023-5-24,,,,0.0951501962297609,0.1499812249947766,0.2444836489681566,0.2574371031623637,0.4597175308174936,,0.2155499949374021,0.2015766600391021,0.2899229726416029,0.3291138147245116,0.3332628609449213,,0.4917115454594987,0.8436708606206152,,0.2884570204359105,,0.4396506870104165,0.1783894481167114,0.1160714503225117,,
a,2023-6-2,,,,,-0.0026599343083326,-0.0088789053793665,-0.0130376409910948,-0.0392029315227648,-0.1922188768580103,-0.1371694806391508,-0.2079290046044702,-0.1750687868963953,-0.171136531856083,-0.1746850508006165,-0.0953968970157671,-0.154561349600862,-0.0388529117453799,-0.0481282439548637,-0.1731483844076711,-0.0635264528606233,-0.0727874744464789,-0.0228641679170817,-0.1002185359843695,,
b,2023-6-2,,,,,0.0382685269913711,0.0649202411125024,0.075193821196917,0.1199271254827388,0.2569560897135347,0.2085888758305115,0.2922270430466459,0.2796007768175826,0.2761038251039541,0.300722096992742,0.2770726811898923,0.2710320695962733,0.2051778356063702,0.2012787764508467,0.2333536941387649,0.1763012339992253,0.1854521682094601,0.0922772140765894,0.1978085366437471,,
rho,2023-6-2,,,,,-0.1505400604728163,-0.1335211079804779,-0.0905485347575492,-0.0007853586891839,0.2740135645646948,0.1373942422057899,0.3439811337214872,0.3180561513772298,0.2989847883957374,0.3605244358928028,0.3797629225800706,0.205176096977282,0.1360929771161014,0.0065400512103112,-0.1048625385718587,-0.2917558918654337,-0.3669165633906016,-0.093764221370113,0.2714845891293001,,
m,2023-6-2,,,,,-0.0222086474942503,-0.0206179277142945,-0.0101910448330882,0.0355162870939549,0.3283036811043949,0.2280116798808081,0.470174150867406,0.4474732328722758,0.4546926553740931,0.5294545358424798,0.4865836857902788,0.5213813449522734,0.461649540272069,0.4672572672083692,0.4727862085533858,0.4576605505561657,0.4195920761358377,-0.0138202541106043,0.1820207775722007,,
